Numéro;Petite région agricole;Région agricole SAFER;Région agricole MdA;Vieille Région agricole MdA;code pra;code safer;code minister;code insee
01;Bresse;Bresse;Bresse;Bresse;pra1;ra1;ram1;1446
01;Bugey;Bugey;Bugey;Bugey;pra2;ra2;ram2;1451
01;Coteaux en bordure des Dombes;Vallée de la Saône, Dombes;Vallée de la Saône, Dombes;Coteaux en bordure des Dombes;pra3;ra3;ram3;1201
01;Dombes;Vallée de la Saône, Dombes;Vallée de la Saône, Dombes;Dombes;pra4;ra3;ram3;1198
01;Haut-Bugey;Pays de Gex, Haut-Bugey;Pays de Gex, haut Bugey;Haut-Bugey;pra5;ra4;ram4;1449
01;Vallée de la Saône;Vallée de la Saône, Dombes;Vallée de la Saône, Dombes;Vallée de la Saône;pra6;ra3;ram3;1195
01;Zone d'élevage du Pays de Gex (2ème zone);Pays de Gex, Haut-Bugey;Pays de Gex, haut Bugey;Zone d'élevage du Pays de Gex (2ème zone);pra7;ra4;ram4;1216
01;Zone forestière du Pays de Gex (1ère zone);Pays de Gex, Haut-Bugey;Pays de Gex, haut Bugey;Zone forestière du Pays de Gex (1ère zone);pra8;ra4;ram4;1215
02;Champagne crayeuse;Saint-Quentinois et Laonnois, Champagne crayeuse;Saint-Quentinois et Laonnois, Champagne;Champagne crayeuse;pra9;ra5;ram5;2317
02;Saint-Quentinois et Laonnois;Saint-Quentinois et Laonnois, Champagne crayeuse;Saint-Quentinois et Laonnois, Champagne;Saint-Quentinois et Laonnois;pra10;ra5;ram5;2034
02;Soissonnais;Soissonnais, Valois;Soissonnais, Valois;Soissonnais;pra11;ra6;ram6;2328
02;Tardenois et Brie;Tardenois et Brie;Tardenois et Brie;Tardenois et Brie;pra12;ra7;ram7;2336
02;Thiérache;Thiérache;Thiérache;Thiérache;pra13;ra8;ram8;2323
02;Valois;Soissonnais, Valois;Soissonnais, Valois;Valois;pra14;ra6;ram6;2329
03;Bocage bourbonnais;Bocage bourbonnais;Bocage bourbonnais;Bocage bourbonnais;pra15;ra9;ram9;3178
03;Combraille bourbonnaise;Montagne et Combraille bourbonnaise;Montagne et Combraille bourbonnaise;Combraille bourbonnaise;pra16;ra10;ram10;3428
03;Montagne bourbonnaise;Montagne et Combraille bourbonnaise;Montagne et Combraille bourbonnaise;Montagne bourbonnaise;pra17;ra10;ram10;3425
03;Sologne bourbonnaise;Sologne bourbonnaise;Sologne bourbonnaise;Sologne bourbonnaise;pra18;ra11;ram11;3429
03;Val d’Allier;Val d’Allier;Val d'Allier;Val d’Allier;pra19;ra12;ram12;3426
04;Montagne de Haute-Provence;Sisteronnais, Montagne de Haute-Provence;Sisteronnais, montagne de Haute-Provence;Montagne de Haute-Provence;pra20;ra13;ram13;4460
04;Plateau de Forcalquier;Plateau de Forcalquier;Plateau de Forcalquier;Plateau de Forcalquier;pra21;ra14;ram14;4462
04;Plateau de Valensole;Plateau de Valensole;Plateau de Valensole;Plateau de Valensole;pra22;ra15;ram15;4233
04;Sisteronnais;Sisteronnais, Montagne de Haute-Provence;Sisteronnais, montagne de Haute-Provence;Sisteronnais;pra23;ra13;ram13;4459
04;Val de Durance;Val de Durance;Val de Durance;Val de Durance;pra24;ra16;ram16;4466
05;Bochaine;Ouest Hautes-Alpes;Ouest Hautes-Alpes;Bochaine;pra25;ra17;ram17;5461
05;Briançonnais;Est Hautes-Alpes;Est Hautes-Alpes;Briançonnais;pra26;ra18;ram18;5457
05;Champsaur;Est Hautes-Alpes;Est Hautes-Alpes;Champsaur;pra27;ra18;ram18;5235
05;Devoluy;Ouest Hautes-Alpes;Ouest Hautes-Alpes;Devoluy;pra28;ra17;ram17;5236
05;Embrunais;Est Hautes-Alpes;Est Hautes-Alpes;Embrunais;pra29;ra18;ram18;5237
05;Gapençais;Ouest Hautes-Alpes;Ouest Hautes-Alpes;Gapençais;pra30;ra17;ram17;5239
05;Haut-Embrunais;Est Hautes-Alpes;Est Hautes-Alpes;Haut-Embrunais;pra31;ra18;ram18;5232
05;Laragnais;Ouest Hautes-Alpes;Ouest Hautes-Alpes;Laragnais;pra32;ra17;ram17;5459
05;Queyras;Est Hautes-Alpes;Est Hautes-Alpes;Queyras;pra33;ra18;ram18;5231
05;Serrois-Rosannais;Ouest Hautes-Alpes;Ouest Hautes-Alpes;Serrois-Rosannais;pra34;ra17;ram17;5463
06;Alpes niçoises;Alpes niçoises;Alpes Maritimes;Alpes niçoises;pra35;ra19;ram19;6250
06;Coteaux niçois;Alpes niçoises;Alpes Maritimes;Coteaux niçois;pra36;ra19;ram387;6245
06;Littoral niçois;Alpes niçoises;Alpes Maritimes;Littoral niçois;pra37;ra19;ram388;6249
07;Bas-Vivarais;Coiron, Bas-Vivarais, Vallée du Rhône;Coiron, bas Vivarais, vallée du Rhône;Bas-Vivarais;pra38;ra20;ram20;7422
07;Coiron;Coiron, Bas-Vivarais, Vallée du Rhône;Coiron, bas Vivarais, vallée du Rhône;Coiron;pra39;ra20;ram20;7169
07;Massif du Mézenc-Meygal;Plateau, montagne ardéchoise;Plateau, montagne ardéchoise;Massif du Mézenc-Meygal;pra40;ra21;ram21;7423
07;Monts du Forez;Plateau, montagne ardéchoise;Plateau, montagne ardéchoise;Monts du Forez;pra41;ra21;ram21;7425
07;Plateaux du Haut et Moyen-Vivarais;Plateau, montagne ardéchoise;Plateau, montagne ardéchoise;Plateaux du Haut et Moyen-Vivarais;pra42;ra21;ram21;7171
07;Vallée du Rhône;Coiron, Bas-Vivarais, Vallée du Rhône;Coiron, bas Vivarais, vallée du Rhône;Vallée du Rhône;pra43;ra20;ram20;7465
07;Velay basaltique;Plateau, montagne ardéchoise;Plateau, montagne ardéchoise;Velay basaltique;pra44;ra21;ram21;7424
08;Ardenne;Ardenne;Ardenne;Ardenne;pra45;ra22;ram22;8021
08;Argonne;Crêtes pré-ardennaises, Argonne;Crêtes préardennaises, Argonne;Argonne;pra46;ra23;ram23;8315
08;Champagne crayeuse;Champagne crayeuse, Thiérache;Champagne crayeuse, Thiérache;Champagne crayeuse;pra47;ra24;ram24;8317
08;Crêtes pré-ardennaises;Crêtes pré-ardennaises, Argonne;Crêtes préardennaises, Argonne;Crêtes pré-ardennaises;pra48;ra23;ram23;8022
08;Thiérache;Champagne crayeuse, Thiérache;Champagne crayeuse, Thiérache;Thiérache;pra49;ra24;ram24;8323
